,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
726,17151,02,05,07,09,11,27,16
727,17150,06,14,19,20,21,23,08
728,17149,05,08,15,20,27,30,13
729,17148,04,07,11,14,29,32,12
730,17147,03,07,20,21,25,31,14
731,17146,01,19,25,26,27,33,10
732,17145,02,06,12,17,25,28,12
733,17144,03,14,16,20,31,32,09
734,17143,04,06,09,14,20,29,14
735,17142,08,13,14,18,23,33,06
736,17141,01,06,07,11,13,15,05
737,17140,21,22,25,28,29,30,08
738,17139,02,14,20,24,28,32,16
739,17138,01,17,24,28,32,33,02
740,17137,05,10,20,23,26,31,03
741,17136,03,07,10,18,21,24,12
742,17135,01,06,07,14,18,26,16
743,17134,04,05,11,14,28,32,04
744,17133,06,15,17,18,23,30,11
745,17132,02,03,05,09,13,28,11
746,17131,01,07,10,11,26,27,11
747,17130,05,13,14,23,25,31,02
748,17129,05,06,09,14,21,33,02
749,17128,02,06,13,22,29,31,08
750,17127,14,15,21,24,27,32,12
751,17126,01,16,17,21,27,30,16
752,17125,01,14,23,25,29,30,03
753,17124,02,06,11,26,28,29,03
754,17123,04,05,06,11,21,31,10
755,17122,11,20,21,22,24,27,15
756,17121,11,18,19,22,24,32,07
757,17120,08,10,15,19,23,28,16
758,17119,09,16,21,25,26,31,14
759,17118,08,09,15,22,30,33,16
760,17117,01,02,08,11,14,21,09
761,17116,02,14,20,22,30,32,02
762,17115,04,10,11,25,30,31,01
763,17114,06,12,13,15,18,26,13
764,17113,04,06,16,27,29,33,05
765,17112,03,10,14,16,22,23,11
766,17111,05,10,17,19,29,32,12
767,17110,01,03,12,15,19,23,14
768,17109,08,14,16,18,21,23,16
769,17108,07,12,14,15,17,20,01
770,17107,08,09,15,17,30,32,06
771,17106,12,15,20,25,27,31,02
772,17105,03,06,07,12,25,26,07
773,17104,01,14,15,20,23,30,14
774,17103,01,21,23,25,31,33,01
775,17102,04,08,10,14,18,20,11
776,17101,01,04,11,28,31,32,16
777,17100,04,07,08,18,23,24,02
778,17099,02,05,06,16,28,29,04
779,17098,04,19,22,27,30,33,01
780,17097,05,10,18,19,30,31,03
781,17096,02,06,11,12,19,29,06
782,17095,09,10,12,19,22,29,16
783,17094,08,11,13,19,28,31,06
784,17093,07,08,09,15,22,27,12
785,17092,10,18,19,29,32,33,09
786,17091,05,07,10,23,28,29,03
787,17090,01,07,10,16,22,33,09
788,17089,11,12,13,16,23,25,12
789,17088,07,09,18,22,23,29,06
790,17087,03,06,13,14,19,28,06
791,17086,03,05,06,13,20,22,07
792,17085,01,05,06,16,25,30,09
793,17084,01,05,11,20,22,24,02
794,17083,03,08,14,20,24,26,12
795,17082,14,18,21,25,28,29,10
796,17081,03,05,14,25,26,30,05
797,17080,01,12,16,20,22,24,08
798,17079,03,07,14,23,25,27,08
799,17078,05,07,18,19,22,24,16
800,17077,01,02,04,15,17,22,14
801,17076,01,04,08,09,14,15,13
802,17075,01,03,06,19,21,29,07
803,17074,02,06,16,23,30,31,02
804,17073,03,06,16,23,26,30,14
805,17072,06,11,14,23,26,30,02
806,17071,02,03,06,14,31,32,03
807,17070,01,06,14,22,25,26,12
808,17069,02,11,12,23,29,31,05
809,17068,02,06,10,22,30,31,15
810,17067,01,03,04,10,18,29,04
811,17066,01,04,06,17,19,26,03
812,17065,02,05,08,10,12,21,07
813,17064,02,10,16,22,24,28,15
814,17063,12,16,20,22,25,31,04
815,17062,01,07,22,24,26,31,10
816,17061,06,07,12,20,26,27,11
817,17060,05,10,13,24,26,31,04
818,17059,04,08,09,15,19,25,09
819,17058,01,09,13,22,28,32,11
820,17057,18,20,22,23,30,31,16
821,17056,13,14,18,19,21,28,06
822,17055,07,12,13,20,24,31,05
823,17054,02,03,09,23,28,33,08
824,17053,04,09,11,15,29,31,06
825,17052,07,08,18,24,29,31,07
826,17051,02,05,09,15,24,25,11
827,17050,10,12,20,24,27,29,07
828,17049,01,08,14,15,20,29,10
829,17048,05,08,09,14,15,19,07
830,17047,02,05,08,10,32,33,02
831,17046,04,13,14,23,26,32,10
832,17045,05,07,16,20,21,25,05
833,17044,08,16,19,21,31,32,06
834,17043,08,13,16,23,27,31,08
835,17042,01,02,04,07,10,23,04
836,17041,04,10,13,15,22,27,04
837,17040,15,19,23,28,29,33,04
838,17039,02,04,12,14,17,24,15
839,17038,01,04,08,13,24,27,05
840,17037,11,15,20,22,25,30,05
841,17036,01,02,05,10,24,27,15
842,17035,01,06,14,24,28,32,12
843,17034,04,07,08,19,32,33,13
844,17033,05,07,15,20,23,30,15
845,17032,05,08,15,24,27,31,11
846,17031,06,10,16,26,27,29,03
847,17030,01,07,09,20,23,30,02
848,17029,02,15,21,23,25,30,10
849,17028,07,08,12,13,22,30,09
850,17027,02,04,11,14,27,30,05
851,17026,03,10,12,19,27,30,08
852,17025,02,15,16,17,22,32,07
853,17024,09,21,25,26,29,31,13
854,17023,01,03,04,11,18,22,14
855,17022,02,06,15,16,18,32,15
856,17021,02,05,10,22,32,33,09
857,17020,04,08,10,12,31,33,10
858,17019,04,06,08,12,23,25,08
859,17018,01,02,03,17,25,31,09
860,17017,03,07,08,10,22,23,12
861,17016,05,08,16,22,27,29,02
862,17015,01,08,09,14,17,32,01
863,17014,06,08,18,20,23,31,13
864,17013,08,11,28,29,31,33,06
865,17012,10,11,14,15,16,24,07
866,17011,10,11,12,23,26,29,16
867,17010,05,08,19,25,28,30,07
868,17009,02,06,08,09,15,29,14
869,17008,07,13,15,27,28,29,13
870,17007,02,04,05,24,26,33,15
871,17006,02,04,08,26,29,33,08
872,17005,06,11,12,22,23,30,05
873,17004,05,13,17,26,27,30,07
874,17003,01,04,08,15,27,32,16
875,17002,15,19,23,24,25,32,03
876,17001,09,11,14,20,25,26,15
877,16153,07,09,16,24,25,29,06
878,16152,02,08,09,16,20,22,07
879,16151,06,11,16,20,22,33,07
880,16150,02,04,05,09,13,21,05
881,16149,03,20,23,26,32,33,07
882,16148,01,02,11,20,26,30,14
883,16147,04,14,18,28,31,32,12
884,16146,03,07,15,16,17,23,10
885,16145,01,03,07,12,19,20,06
886,16144,04,10,12,27,32,33,05
887,16143,06,09,23,24,25,33,13
888,16142,01,10,17,21,23,30,12
889,16141,04,13,15,17,21,24,15
890,16140,01,02,05,17,26,32,10
891,16139,01,06,19,26,28,30,03
892,16138,07,16,20,24,25,30,07
893,16137,01,06,09,10,15,32,14
894,16136,02,07,10,20,27,29,03
895,16135,02,08,10,18,20,33,12
896,16134,11,12,13,14,18,33,13
897,16133,15,16,21,22,27,33,15
898,16132,05,08,13,19,27,28,07
899,16131,04,10,18,19,25,27,02
900,16130,03,17,21,23,27,28,01
901,16129,05,06,08,21,31,33,14
902,16128,04,09,11,17,26,27,13
903,16127,07,12,17,26,29,31,16
904,16126,02,06,12,17,18,19,10
905,16125,01,06,08,20,27,30,03
906,16124,09,15,21,24,27,32,10
907,16123,07,09,12,14,20,27,16
908,16122,15,22,23,24,28,29,08
909,16121,02,03,10,23,25,28,09
910,16120,02,05,06,21,25,28,09
911,16119,09,19,21,30,31,32,04
912,16118,09,14,22,23,31,33,14
913,16117,03,10,14,17,28,33,02
914,16116,07,18,20,23,27,31,13
915,16115,06,08,20,22,26,27,09
916,16114,05,16,20,22,27,29,09
917,16113,01,11,16,17,20,26,14
918,16112,06,12,14,15,18,25,12
919,16111,02,04,07,14,15,32,04
920,16110,05,07,28,31,32,33,08
921,16109,09,11,15,16,27,33,05
922,16108,02,03,07,08,19,26,16
923,16107,06,11,18,26,27,32,01
924,16106,04,05,13,22,25,30,04
925,16105,08,10,19,27,28,31,16
926,16104,05,09,11,18,30,31,04
927,16103,01,05,13,19,24,27,11
928,16102,05,08,10,14,17,30,13
929,16101,01,03,19,24,32,33,01
930,16100,03,10,22,23,27,29,04
931,16099,01,11,21,23,27,33,06
932,16098,02,08,25,29,31,32,06
933,16097,06,13,25,26,28,31,01
934,16096,06,13,14,21,22,24,16
935,16095,01,05,09,12,18,32,12
936,16094,06,07,10,12,18,31,10
937,16093,06,09,15,17,25,27,09
938,16092,02,13,15,23,24,29,06
939,16091,04,08,14,22,23,28,07
940,16090,02,13,17,20,21,26,07
941,16089,01,03,14,30,31,32,08
942,16088,03,14,16,18,25,33,15
943,16087,02,03,10,11,14,21,12
944,16086,09,10,11,12,15,32,05
945,16085,01,12,19,20,21,25,16
946,16084,02,04,12,18,24,26,05
947,16083,09,16,17,24,30,31,04
948,16082,06,12,14,15,17,20,09
949,16081,02,06,15,25,30,32,07
950,16080,01,16,17,24,25,32,14
951,16079,01,03,10,12,24,28,02
952,16078,02,04,08,23,26,29,02
953,16077,01,09,17,19,20,29,10
954,16076,07,08,13,22,30,32,01
955,16075,01,03,06,16,29,32,07
956,16074,06,10,11,12,20,25,12
957,16073,09,11,12,15,16,20,13
958,16072,05,16,19,22,24,25,02
959,16071,19,21,26,28,29,32,01
960,16070,03,06,11,18,23,29,01
961,16069,08,10,11,20,21,27,11
962,16068,08,19,23,28,31,32,01
963,16067,09,13,18,20,27,31,04
964,16066,03,07,13,18,19,20,05
965,16065,13,16,22,25,26,27,14
966,16064,03,12,14,17,19,26,03
967,16063,16,17,18,23,28,32,07
968,16062,12,13,15,18,19,21,09
969,16061,05,06,08,18,20,32,08
970,16060,04,05,22,26,29,32,08
971,16059,04,11,12,20,25,28,15
972,16058,03,05,18,20,24,32,11
973,16057,07,12,19,22,23,26,11
974,16056,03,04,08,11,16,18,14
975,16055,05,06,10,16,22,26,11
976,16054,06,11,16,19,28,32,04
977,16053,02,08,10,12,29,31,01
978,16052,01,06,13,19,24,28,16
979,16051,01,02,04,09,15,33,12
980,16050,09,12,24,28,29,30,02
981,16049,06,08,13,14,22,27,10
982,16048,03,08,13,14,15,30,04
983,16047,02,05,08,15,17,22,16
984,16046,07,20,25,26,27,30,14
985,16045,04,09,12,17,30,32,03
986,16044,01,03,10,12,18,30,01
987,16043,05,14,20,26,30,33,12
988,16042,07,14,17,23,26,31,09
989,16041,12,17,18,21,22,24,04
990,16040,03,13,19,20,23,26,03
991,16039,01,03,07,18,19,27,16
992,16038,03,12,13,22,28,29,03
993,16037,06,15,26,31,32,33,16
994,16036,03,04,07,09,20,22,03
995,16035,04,13,19,20,26,29,11
996,16034,03,15,21,22,23,28,15
997,16033,06,17,18,20,27,29,15
998,16032,08,12,14,15,21,27,15
999,16031,03,08,10,19,26,33,03
1000,16030,10,14,19,22,25,29,12
1001,16029,12,15,18,20,21,27,15
1002,16028,06,08,12,21,25,29,01
1003,16027,11,13,15,17,19,31,05
1004,16026,04,09,12,28,30,33,01
1005,16025,04,11,12,17,24,30,12
1006,16024,02,05,07,14,18,31,13
1007,16023,03,06,10,19,25,29,07
1008,16022,04,09,19,22,23,30,07
1009,16021,09,11,13,22,24,26,05
1010,16020,01,02,10,12,22,24,10
1011,16019,06,13,16,17,23,30,10
1012,16018,12,13,14,17,21,25,04
1013,16017,05,06,08,20,22,30,05
1014,16016,01,20,22,24,25,26,16
1015,16015,01,02,14,22,25,26,07
1016,16014,02,08,10,18,20,27,07
1017,16013,07,12,21,22,26,31,01
1018,16012,07,12,14,16,27,32,15
1019,16011,03,08,10,15,22,29,12
1020,16010,02,04,12,14,19,25,06
1021,16009,10,14,24,25,27,32,04
1022,16008,02,15,24,29,32,33,02
1023,16007,05,12,14,20,27,29,06
1024,16006,13,16,18,20,28,31,12
1025,16005,11,14,18,20,31,33,14
1026,16004,08,10,17,22,25,33,12
1027,16003,01,10,14,23,26,28,01
1028,16002,09,14,17,20,24,30,16
1029,16001,06,13,16,18,20,22,13
1030,15154,07,09,11,15,18,25,07
1031,15153,08,11,15,22,27,29,03
1032,15152,11,18,19,21,29,32,12
1033,15151,05,06,08,23,31,32,11
1034,15150,01,03,08,11,29,31,13
1035,15149,09,10,20,21,22,33,09
1036,15148,09,13,14,22,26,27,07
1037,15147,08,09,16,23,24,30,05
1038,15146,16,17,21,28,30,32,15
1039,15145,07,08,15,19,20,24,13
1040,15144,01,04,07,15,28,32,16
1041,15143,13,15,19,20,21,32,04
1042,15142,13,17,19,20,22,25,11
1043,15141,03,08,19,25,27,28,02
1044,15140,06,20,28,29,30,31,12
1045,15139,01,10,13,18,25,27,09
1046,15138,01,02,08,16,19,24,11
1047,15137,14,22,23,27,28,31,12
1048,15136,02,05,12,23,28,29,01
1049,15135,01,12,14,18,26,32,07
1050,15134,02,05,14,19,27,31,04
1051,15133,02,03,13,20,22,24,15
1052,15132,03,05,11,28,30,33,01
1053,15131,10,12,13,19,22,26,03
1054,15130,06,14,15,16,17,22,10
1055,15129,05,08,11,16,18,27,04
1056,15128,01,03,08,11,22,28,06
1057,15127,07,10,19,22,27,33,06
1058,15126,10,11,15,20,23,29,12
1059,15125,05,13,22,27,30,33,10
1060,15124,02,03,05,12,18,27,01
1061,15123,05,08,09,12,22,28,07
1062,15122,05,07,11,16,22,25,07
1063,15121,01,03,20,21,28,29,12
1064,15120,16,21,24,26,27,29,16
1065,15119,02,08,10,18,23,31,08
1066,15118,01,04,11,21,23,31,12
1067,15117,04,11,12,18,26,32,12
1068,15116,04,06,15,23,26,28,11
1069,15115,01,07,08,14,24,32,03
1070,15114,04,07,09,13,21,26,01
1071,15113,01,05,07,08,19,27,12
1072,15112,01,03,10,19,20,27,11
1073,15111,08,14,16,18,20,30,12
1074,15110,05,07,16,17,22,23,04
1075,15109,01,08,09,16,32,33,13
1076,15108,02,12,19,22,24,27,15
1077,15107,07,14,16,18,21,25,08
1078,15106,01,03,04,23,31,32,13
1079,15105,09,10,16,19,20,26,12
1080,15104,09,18,21,23,25,26,01
1081,15103,06,08,13,26,30,32,14
1082,15102,07,09,12,14,21,23,06
1083,15101,08,16,22,24,28,29,05
1084,15100,02,03,11,17,19,21,08
1085,15099,06,07,10,11,14,22,09
1086,15098,06,09,13,26,27,33,01
1087,15097,09,12,14,20,26,27,04
1088,15096,06,16,17,23,24,31,07
1089,15095,04,15,21,28,30,31,04
1090,15094,01,04,06,13,16,17,10
1091,15093,01,03,13,21,25,31,08
1092,15092,09,15,19,21,26,27,01
1093,15091,05,07,17,19,22,31,11
1094,15090,10,12,14,22,25,33,15
1095,15089,12,14,19,27,28,29,01
1096,15088,02,12,20,24,29,31,09
1097,15087,09,15,16,19,20,28,11
1098,15086,05,06,08,16,18,22,12
1099,15085,02,08,25,27,28,29,05
1100,15084,15,18,20,22,28,29,15
1101,15083,06,07,16,18,29,32,05
1102,15082,02,08,09,14,28,30,07
1103,15081,13,20,22,26,28,31,13
1104,15080,14,17,25,27,28,30,02
1105,15079,09,14,15,20,26,32,11
1106,15078,03,07,20,22,26,29,02
1107,15077,01,06,08,10,13,27,16
1108,15076,01,09,10,19,23,27,09
1109,15075,06,11,13,19,21,32,04
1110,15074,04,07,21,25,26,29,08
1111,15073,01,02,17,22,26,27,04
1112,15072,01,03,05,20,21,31,05
1113,15071,08,18,20,28,29,31,08
1114,15070,01,07,13,19,21,29,15
1115,15069,01,13,17,18,23,30,15
1116,15068,06,15,18,21,26,27,10
1117,15067,02,05,08,24,25,31,14
1118,15066,05,08,11,17,24,28,16
1119,15065,08,10,14,19,26,29,12
1120,15064,11,12,14,17,23,27,01
1121,15063,01,07,09,16,22,32,12
1122,15062,09,14,15,18,21,26,16
1123,15061,06,18,22,26,32,33,04
1124,15060,01,03,18,27,31,32,13
1125,15059,02,06,09,16,25,32,14
1126,15058,02,09,10,18,19,20,15
1127,15057,09,20,24,25,26,32,04
1128,15056,01,07,08,16,18,20,14
1129,15055,01,10,15,18,19,28,02
1130,15054,01,02,07,10,22,26,07
1131,15053,03,07,17,22,32,33,10
1132,15052,02,04,11,16,25,26,12
1133,15051,04,10,24,26,28,32,09
1134,15050,03,09,12,16,17,31,04
1135,15049,07,12,14,17,20,23,05
1136,15048,13,16,17,22,25,27,10
1137,15047,02,03,20,24,26,27,09
1138,15046,05,07,10,14,23,31,01
1139,15045,01,05,13,22,30,31,07
1140,15044,02,03,04,13,14,16,02
1141,15043,11,12,15,24,26,27,15
1142,15042,09,10,19,21,23,32,08
1143,15041,04,09,11,17,21,25,06
1144,15040,13,16,18,27,30,32,16
1145,15039,01,13,15,26,29,30,12
1146,15038,05,06,11,12,14,33,14
1147,15037,05,07,12,18,28,31,03
1148,15036,04,06,16,17,26,33,03
1149,15035,01,08,09,22,24,33,03
1150,15034,12,13,17,18,20,27,13
1151,15033,03,06,21,29,31,32,05
1152,15032,11,14,16,18,29,32,16
1153,15031,01,05,07,22,26,32,11
1154,15030,08,11,14,15,16,26,07
1155,15029,07,14,15,19,21,28,07
1156,15028,04,07,10,26,27,28,14
1157,15027,05,07,09,16,26,29,07
1158,15026,02,13,17,21,22,33,13
1159,15025,10,11,12,15,27,32,14
1160,15024,09,11,16,18,23,24,10
1161,15023,08,09,10,13,29,30,01
1162,15022,04,07,10,16,23,25,10
1163,15021,14,15,16,17,27,28,08
1164,15020,01,04,07,19,22,23,04
1165,15019,02,06,11,19,25,26,04
1166,15018,06,09,12,14,28,29,09
1167,15017,13,18,20,25,27,33,12
1168,15016,02,06,10,15,17,31,13
1169,15015,01,07,20,24,25,33,04
1170,15014,02,12,16,19,27,30,11
1171,15013,08,09,24,25,26,29,01
1172,15012,03,05,22,23,29,31,06
1173,15011,04,14,15,17,18,20,15
1174,15010,01,02,03,08,21,31,09
1175,15009,04,07,14,17,21,25,14
1176,15008,04,07,10,16,20,22,03
1177,15007,01,07,09,17,20,33,08
1178,15006,01,10,11,29,31,33,13
1179,15005,07,10,16,17,18,32,15
1180,15004,02,14,15,16,23,24,10
1181,15003,10,15,20,23,24,31,15
1182,15002,07,15,16,25,28,32,05
1183,15001,01,07,09,16,20,23,06
1184,14152,08,13,15,20,21,25,12
1185,14151,04,05,08,11,21,27,08
1186,14150,03,08,14,22,24,32,09
1187,14149,07,09,10,15,19,33,01
1188,14148,01,02,05,12,15,16,13
1189,14147,06,07,22,26,31,32,10
1190,14146,01,06,13,20,29,32,01
1191,14145,10,12,13,23,26,29,11
1192,14144,03,05,06,09,10,27,14
1193,14143,03,12,18,20,25,26,16
1194,14142,06,21,22,23,25,28,13
1195,14141,08,09,11,16,21,24,10
1196,14140,06,10,11,14,17,33,06
1197,14139,01,14,15,20,25,29,11
1198,14138,04,06,13,29,31,33,13
1199,14137,03,06,09,11,25,29,09
1200,14136,03,16,19,27,31,32,10
1201,14135,02,04,11,13,25,33,01
1202,14134,05,16,22,23,26,28,02
1203,14133,13,14,16,23,30,31,13
1204,14132,05,06,14,15,18,33,08
1205,14131,05,17,21,22,28,32,14
1206,14130,01,02,10,24,30,33,10
1207,14129,05,08,09,20,28,32,02
1208,14128,05,07,08,17,18,24,14
1209,14127,02,10,12,21,23,27,12
1210,14126,06,11,16,17,22,27,01
1211,14125,10,11,15,26,31,32,06
1212,14124,02,17,20,24,31,33,04
1213,14123,01,06,11,17,28,33,05
1214,14122,06,09,11,16,20,29,11
1215,14121,01,02,13,22,28,30,09
1216,14120,01,07,12,16,23,28,04
1217,14119,06,13,17,20,26,29,09
1218,14118,05,07,15,18,26,30,03
1219,14117,05,10,17,25,28,29,04
1220,14116,09,10,14,15,19,29,16
1221,14115,01,09,10,11,13,32,03
1222,14114,02,07,23,30,32,33,10
1223,14113,12,14,28,31,32,33,07
1224,14112,01,15,16,21,24,30,03
1225,14111,02,08,17,20,22,28,02
1226,14110,01,08,11,13,19,30,06
1227,14109,02,05,11,15,19,28,02
1228,14108,03,08,09,20,23,28,02
1229,14107,11,14,17,22,25,27,16
1230,14106,09,14,17,18,21,25,15
1231,14105,14,16,17,19,27,32,04
1232,14104,02,06,12,19,27,28,13
1233,14103,03,08,09,10,18,33,04
1234,14102,14,16,21,24,28,31,13
1235,14101,16,18,20,23,24,32,07
1236,14100,01,06,09,10,14,16,11
1237,14099,01,05,10,11,13,32,14
1238,14098,02,13,17,20,29,31,07
1239,14097,07,13,24,25,27,32,15
1240,14096,12,14,17,19,22,24,08
1241,14095,05,06,08,14,22,31,08
1242,14094,01,10,18,20,23,29,01
1243,14093,02,08,09,10,20,29,05
1244,14092,03,13,18,19,22,26,07
1245,14091,01,05,12,19,27,29,14
1246,14090,05,09,11,19,24,32,13
1247,14089,04,06,14,17,27,30,09
1248,14088,03,06,11,14,16,29,15
1249,14087,06,18,22,23,32,33,06
1250,14086,02,04,10,12,14,30,08
1251,14085,01,02,11,19,23,29,08
1252,14084,01,06,09,10,13,25,08
1253,14083,05,06,19,21,23,33,12
1254,14082,02,04,20,25,26,29,11
1255,14081,08,14,22,24,27,29,10
1256,14080,05,14,16,17,25,30,07
1257,14079,02,07,16,22,27,28,02
1258,14078,02,03,05,06,09,17,07
1259,14077,08,09,12,15,19,22,10
1260,14076,06,10,12,17,18,33,11
1261,14075,03,09,11,22,27,29,06
1262,14074,01,03,06,13,30,31,12
1263,14073,01,12,16,20,30,33,02
1264,14072,01,03,07,13,19,32,16
1265,14071,02,04,12,17,22,25,14
1266,14070,01,07,09,19,28,29,07
1267,14069,05,12,17,19,25,30,11
1268,14068,04,12,13,22,27,29,16
1269,14067,01,06,07,17,18,23,06
1270,14066,02,05,15,17,18,21,16
1271,14065,03,04,05,08,10,22,06
1272,14064,02,09,15,16,29,32,14
1273,14063,03,08,17,21,22,31,16
1274,14062,06,09,15,24,25,26,09
1275,14061,02,14,17,27,28,31,08
1276,14060,03,05,14,18,25,33,06
1277,14059,05,08,12,13,23,25,13
1278,14058,02,03,12,13,14,25,11
1279,14057,02,04,12,18,23,31,08
1280,14056,01,11,18,20,28,29,01
1281,14055,02,09,14,19,21,30,04
1282,14054,01,04,05,11,29,30,14
1283,14053,14,17,19,22,26,31,02
1284,14052,09,13,15,28,30,33,08
1285,14051,10,16,19,21,23,24,13
1286,14050,03,17,23,25,26,32,13
1287,14049,06,07,16,17,23,32,06
1288,14048,06,09,16,17,24,25,16
1289,14047,08,10,11,12,19,29,15
1290,14046,02,10,11,17,18,22,10
1291,14045,02,04,09,11,19,22,15
1292,14044,04,09,21,27,28,33,12
1293,14043,02,05,09,14,24,33,09
1294,14042,12,15,20,25,28,33,14
1295,14041,07,11,16,18,21,22,02
1296,14040,03,04,06,11,12,15,08
1297,14039,03,11,15,19,20,31,07
1298,14038,04,07,22,23,24,33,16
1299,14037,06,13,14,24,25,30,07
1300,14036,01,07,08,09,11,22,03
1301,14035,07,08,09,17,32,33,06
1302,14034,01,03,04,08,25,31,06
1303,14033,05,13,23,28,32,33,12
1304,14032,01,02,14,22,29,33,07
1305,14031,04,10,16,17,21,27,14
1306,14030,12,18,19,23,24,30,10
1307,14029,02,07,14,16,21,29,14
1308,14028,06,16,21,27,30,32,05
1309,14027,08,10,14,16,30,31,01
1310,14026,01,02,05,06,11,23,14
1311,14025,01,05,10,14,16,30,16
1312,14024,08,10,16,20,23,30,09
1313,14023,07,09,13,17,21,22,10
1314,14022,04,06,07,10,21,26,16
1315,14021,08,10,15,17,22,29,12
1316,14020,09,14,17,23,24,25,15
1317,14019,02,10,15,19,20,21,07
1318,14018,13,17,18,21,30,33,15
1319,14017,04,06,07,14,25,26,10
1320,14016,02,03,07,13,21,24,08
1321,14015,02,11,19,30,32,33,09
1322,14014,04,09,19,22,25,29,15
1323,14013,05,09,13,15,17,21,13
1324,14012,01,08,11,19,21,24,08
1325,14011,09,10,13,14,21,32,02
1326,14010,05,07,08,20,31,33,11
1327,14009,08,09,19,20,25,32,16
1328,14008,05,14,16,21,29,30,12
1329,14007,08,10,12,14,18,28,14
1330,14006,03,04,07,17,21,27,14
1331,14005,15,18,23,27,32,33,04
1332,14004,01,04,19,22,24,25,15
1333,14003,06,10,11,28,30,33,12
1334,14002,04,21,23,31,32,33,04
1335,14001,03,09,15,20,27,29,01
1336,13154,07,11,14,19,24,29,05
1337,13153,08,11,13,18,28,33,10
1338,13152,04,06,14,16,18,29,05
1339,13151,03,09,10,19,28,33,09
1340,13150,01,15,16,25,26,29,10
1341,13149,09,18,25,26,30,32,11
1342,13148,06,11,12,14,17,22,01
1343,13147,02,15,16,17,19,30,08
1344,13146,08,20,25,30,32,33,01
1345,13145,06,10,13,16,23,24,15
1346,13144,05,07,12,19,27,31,02
1347,13143,12,18,21,22,27,32,11
1348,13142,11,12,14,20,22,29,14
1349,13141,03,04,05,25,30,31,04
1350,13140,01,05,12,13,21,22,10
1351,13139,07,08,11,13,21,27,08
1352,13138,04,15,16,24,27,28,03
1353,13137,04,17,19,23,24,27,10
1354,13136,04,06,14,16,18,26,06
1355,13135,09,23,24,25,29,31,12
1356,13134,01,17,18,19,25,29,10
1357,13133,04,07,12,19,22,25,01
1358,13132,20,21,22,23,25,27,12
1359,13131,04,06,12,17,19,26,09
1360,13130,01,03,15,16,31,33,08
1361,13129,05,06,10,14,27,31,14
1362,13128,07,13,17,19,25,31,08
1363,13127,02,03,13,20,22,33,14
1364,13126,04,10,19,27,31,33,16
1365,13125,04,06,08,18,25,28,16
1366,13124,03,09,15,23,25,30,07
1367,13123,01,02,06,11,17,25,02
1368,13122,07,10,13,15,26,27,11
1369,13121,04,05,06,07,25,27,07
1370,13120,05,06,13,18,23,31,11
1371,13119,05,15,20,22,26,32,09
1372,13118,02,03,17,22,32,33,16
1373,13117,09,12,13,24,27,33,16
1374,13116,12,15,21,26,32,33,07
1375,13115,03,12,16,17,18,27,08
1376,13114,04,06,17,21,23,33,07
1377,13113,04,07,11,17,24,33,09
1378,13112,01,06,12,13,22,31,07
1379,13111,01,02,03,06,08,33,13
1380,13110,15,17,18,21,29,32,13
1381,13109,09,23,24,27,29,32,08
1382,13108,16,21,22,28,31,32,05
1383,13107,07,09,11,17,28,31,11
1384,13106,09,11,23,30,31,32,06
1385,13105,01,11,23,27,31,32,09
1386,13104,01,02,04,15,17,28,11
1387,13103,02,04,09,13,18,20,07
1388,13102,02,04,05,06,08,16,03
1389,13101,05,07,09,23,27,32,01
1390,13100,04,08,11,14,16,20,11
1391,13099,05,11,20,21,26,31,03
1392,13098,07,15,18,19,20,26,14
1393,13097,05,14,17,22,23,25,07
1394,13096,01,02,22,28,29,30,15
1395,13095,01,06,15,19,28,29,10
1396,13094,02,04,14,18,20,22,07
1397,13093,01,02,08,26,29,31,14
1398,13092,07,11,15,21,26,31,06
1399,13091,04,14,24,25,28,31,10
1400,13090,02,05,11,23,24,29,08
1401,13089,04,08,12,19,21,25,13
1402,13088,09,15,20,21,22,24,14
1403,13087,02,13,19,23,24,28,05
1404,13086,02,04,11,13,16,26,11
1405,13085,02,08,12,14,16,32,16
1406,13084,05,07,09,11,20,21,03
1407,13083,05,06,12,14,19,23,09
1408,13082,04,13,14,20,22,30,06
1409,13081,01,04,10,13,21,31,13
1410,13080,10,11,12,23,28,32,16
1411,13079,07,13,17,19,22,26,13
1412,13078,03,05,17,18,26,27,15
1413,13077,09,14,23,24,26,29,03
1414,13076,14,23,24,26,29,30,03
1415,13075,04,06,09,25,30,33,14
1416,13074,03,06,08,14,19,32,03
1417,13073,02,09,13,17,20,28,11
1418,13072,02,08,11,14,19,33,09
1419,13071,05,12,21,23,26,28,09
1420,13070,02,03,09,10,28,30,06
1421,13069,07,16,17,18,30,33,06
1422,13068,02,07,13,20,25,27,06
1423,13067,01,04,09,15,22,30,06
1424,13066,01,03,16,17,20,32,07
1425,13065,07,18,19,23,29,30,02
1426,13064,01,09,13,22,25,32,12
1427,13063,10,15,18,20,23,31,12
1428,13062,01,06,07,19,22,27,02
1429,13061,05,06,07,12,13,18,12
1430,13060,05,07,10,13,19,20,15
1431,13059,03,10,18,24,27,29,09
1432,13058,08,11,17,21,23,24,05
1433,13057,13,16,19,23,26,28,05
1434,13056,03,12,25,26,28,29,16
1435,13055,08,18,19,22,27,32,06
1436,13054,03,04,08,14,21,28,14
