,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
166,21119,03,09,10,11,28,29,13
167,21118,02,06,14,18,20,31,13
168,21117,03,05,17,21,27,33,04
169,21116,06,14,17,18,31,33,06
170,21115,02,10,12,15,24,27,08
171,21114,04,06,08,14,24,27,02
172,21113,04,07,10,22,27,30,02
173,21112,05,06,21,25,28,33,07
174,21111,17,20,22,23,26,28,06
175,21110,10,13,15,24,31,32,02
176,21109,02,03,10,17,20,26,16
177,21108,11,15,18,24,26,32,09
178,21107,02,03,17,19,25,30,01
179,21106,01,04,07,14,30,31,03
180,21105,10,14,15,22,27,32,09
181,21104,01,07,17,20,22,28,15
182,21103,10,13,15,25,29,30,15
183,21102,05,09,15,24,27,30,09
184,21101,02,04,12,22,29,31,01
185,21100,07,09,12,13,14,29,16
186,21099,09,11,17,18,20,27,15
187,21098,01,10,13,18,26,32,05
188,21097,03,11,12,13,25,28,12
189,21096,01,07,11,14,15,26,11
190,21095,08,12,17,24,27,28,13
191,21094,09,11,24,25,28,33,15
192,21093,05,11,15,23,28,33,03
193,21092,02,07,08,10,12,31,03
194,21091,04,06,16,24,26,33,16
195,21090,05,06,12,14,27,28,08
196,21089,01,02,07,13,23,24,12
197,21088,04,12,15,16,19,26,06
198,21087,02,13,16,19,23,24,04
199,21086,06,08,10,14,28,29,01
200,21085,05,06,07,11,14,20,02
201,21084,05,07,09,11,21,28,01
202,21083,04,09,11,25,28,33,04
203,21082,03,06,11,13,26,32,05
204,21081,01,03,05,18,22,23,01
205,21080,05,08,22,23,24,29,09
206,21079,01,03,10,24,28,29,13
207,21078,04,06,15,26,27,31,12
208,21077,08,15,17,25,27,30,10
209,21076,03,09,21,23,30,32,06
210,21075,12,15,16,21,22,29,01
211,21074,04,05,09,14,25,27,07
212,21073,01,06,18,22,24,25,08
213,21072,01,09,15,16,19,21,15
214,21071,01,07,24,31,32,33,08
215,21070,01,05,11,15,16,29,15
216,21069,06,11,18,20,23,26,05
217,21068,04,14,18,24,31,32,15
218,21067,01,11,19,23,25,29,09
219,21066,02,06,19,26,30,33,15
220,21065,01,04,08,19,29,33,16
221,21064,04,06,08,15,16,18,16
222,21063,04,05,06,09,23,24,09
223,21062,12,13,15,20,22,25,10
224,21061,04,09,12,18,20,23,01
225,21060,10,11,17,20,29,30,15
226,21059,01,09,11,18,32,33,14
227,21058,09,11,13,18,19,28,14
228,21057,05,06,09,17,25,33,16
229,21056,08,21,22,23,29,32,01
230,21055,03,11,12,16,22,28,10
231,21054,07,13,21,22,24,31,02
232,21053,07,10,14,16,24,33,16
233,21052,03,04,06,19,21,30,14
234,21051,08,09,10,19,27,29,15
235,21050,02,09,10,16,25,28,08
236,21049,04,11,13,22,25,32,01
237,21048,04,15,17,22,29,32,03
238,21047,03,07,13,16,24,29,01
239,21046,05,09,13,21,28,33,06
240,21045,01,04,14,15,17,32,02
241,21044,05,07,14,17,26,28,13
242,21043,02,03,17,18,23,24,01
243,21042,05,09,10,22,25,27,08
244,21041,02,09,18,23,26,32,14
245,21040,02,06,07,24,28,29,16
246,21039,02,08,21,24,29,31,13
247,21038,05,07,09,16,18,27,06
248,21037,13,17,19,24,26,30,12
249,21036,01,02,06,11,21,26,11
250,21035,12,14,18,20,26,28,11
251,21034,04,10,12,18,23,25,01
252,21033,02,12,13,14,31,33,06
253,21032,01,05,08,15,16,30,03
254,21031,06,11,21,25,28,31,07
255,21030,08,09,13,27,29,31,05
256,21029,08,10,15,17,22,30,12
257,21028,11,16,23,26,27,33,05
258,21027,05,07,09,16,20,26,08
259,21026,03,05,13,19,20,25,03
260,21025,06,08,14,17,18,30,11
261,21024,01,04,06,10,11,18,02
262,21023,02,21,22,23,27,28,11
263,21022,10,15,17,25,31,32,06
264,21021,04,08,17,24,28,33,13
265,21020,01,03,06,07,09,11,02
266,21019,12,16,17,24,28,29,08
267,21018,02,08,14,23,25,32,06
268,21017,09,15,18,29,32,33,02
269,21016,03,08,09,13,15,18,10
270,21015,06,14,16,26,28,29,07
271,21014,04,15,21,25,29,33,06
272,21013,06,09,12,16,27,31,06
273,21012,03,06,14,18,20,26,01
274,21011,05,10,16,23,27,33,14
275,21010,01,04,11,19,32,33,05
276,21009,02,04,07,24,25,32,13
277,21008,01,05,07,14,18,33,07
278,21007,02,04,12,21,25,32,16
279,21006,06,08,22,24,25,26,01
280,21005,07,09,14,26,30,31,04
281,21004,02,03,07,08,17,22,15
282,21003,06,09,16,18,22,29,11
283,21002,06,10,13,25,26,32,11
284,21001,02,03,13,18,20,31,11
285,20134,02,09,10,20,22,26,01
286,20133,03,19,22,23,27,29,07
287,20132,01,04,11,12,14,23,04
288,20131,08,19,22,26,27,30,07
289,20130,08,09,11,14,17,29,16
290,20129,01,02,05,15,28,33,04
291,20128,08,10,15,16,23,26,10
292,20127,01,04,18,19,26,31,07
293,20126,03,07,12,14,23,28,11
294,20125,05,12,16,26,30,31,13
295,20124,16,18,19,20,29,33,12
296,20123,01,03,18,19,26,29,03
297,20122,12,15,17,24,26,31,15
298,20121,02,04,06,21,25,29,03
299,20120,01,02,03,04,09,10,12
300,20119,01,09,22,28,32,33,15
301,20118,11,13,19,26,30,33,05
302,20117,07,08,09,10,16,27,07
303,20116,05,06,14,16,19,27,10
304,20115,01,04,12,20,25,32,02
305,20114,01,05,11,24,30,32,03
306,20113,01,03,07,10,22,32,11
307,20112,02,09,12,17,28,32,05
308,20111,06,09,17,22,24,26,16
309,20110,02,06,09,14,22,25,04
310,20109,06,13,16,20,23,32,13
311,20108,10,12,15,17,23,32,05
312,20107,03,09,11,24,25,28,16
313,20106,02,04,11,15,18,28,10
314,20105,06,14,19,20,22,24,01
315,20104,04,08,10,16,27,29,09
316,20103,04,09,10,22,28,32,08
317,20102,09,10,19,25,26,29,08
318,20101,10,17,24,25,28,30,15
319,20100,01,07,15,16,20,23,07
320,20099,05,06,11,12,15,30,12
321,20098,06,08,11,22,25,33,02
322,20097,02,08,21,25,26,30,10
323,20096,01,20,23,26,27,32,15
324,20095,03,09,16,17,20,26,02
325,20094,10,15,17,27,29,31,08
326,20093,04,05,10,13,15,19,15
327,20092,01,06,12,18,22,24,03
328,20091,01,09,11,12,16,19,16
329,20090,02,21,23,26,31,32,06
330,20089,02,14,16,21,29,30,10
331,20088,01,06,12,26,29,30,12
332,20087,11,15,20,23,25,33,10
333,20086,02,04,06,15,24,27,06
334,20085,01,02,05,09,19,24,16
335,20084,03,07,16,17,23,30,07
336,20083,01,19,25,26,30,31,12
337,20082,02,08,11,17,21,30,09
338,20081,01,05,13,14,27,33,15
339,20080,14,15,18,22,31,33,01
340,20079,05,12,20,21,22,29,14
341,20078,03,11,14,16,21,32,04
342,20077,03,10,16,21,25,27,12
343,20076,10,15,16,18,20,27,06
344,20075,03,11,13,20,24,30,16
345,20074,04,08,09,13,19,33,12
346,20073,05,07,11,13,27,29,03
347,20072,06,08,10,15,17,26,04
348,20071,09,11,12,13,22,23,08
349,20070,01,02,04,06,19,21,15
350,20069,03,09,10,13,18,26,04
351,20068,12,16,21,26,27,32,10
352,20067,04,07,09,23,27,30,08
353,20066,02,09,13,17,26,28,07
354,20065,09,15,18,21,23,26,08
355,20064,01,03,07,21,27,32,01
356,20063,12,15,16,22,29,32,14
357,20062,10,14,17,22,26,27,05
358,20061,08,17,24,26,27,31,04
359,20060,05,09,14,20,24,30,08
360,20059,02,04,10,17,22,25,14
361,20058,01,03,11,12,19,26,07
362,20057,09,14,21,23,26,32,03
363,20056,02,05,08,12,26,31,14
364,20055,01,05,07,23,28,30,12
365,20054,03,10,19,25,26,31,02
366,20053,02,14,15,16,32,33,01
367,20052,02,08,13,29,32,33,15
368,20051,03,06,08,11,19,28,08
369,20050,04,09,17,20,32,33,15
370,20049,01,07,09,12,18,22,04
371,20048,12,14,18,23,30,32,02
372,20047,04,10,17,19,28,32,01
373,20046,13,19,25,26,27,32,08
374,20045,02,03,15,21,22,33,16
375,20044,07,08,16,17,19,24,07
376,20043,01,11,24,25,27,30,07
377,20042,02,06,07,11,14,31,03
378,20041,06,07,16,22,24,25,13
379,20040,01,06,12,16,19,21,04
380,20039,02,09,10,11,16,29,02
381,20038,01,06,07,18,23,24,15
382,20037,01,04,11,13,17,24,15
383,20036,07,09,16,22,24,32,06
384,20035,10,14,24,25,28,33,11
385,20034,02,08,15,16,26,32,03
386,20033,07,10,12,21,31,32,01
387,20032,03,11,13,14,15,26,13
388,20031,02,05,09,15,16,27,09
389,20030,17,18,21,29,30,32,03
390,20029,01,12,18,20,30,32,05
391,20028,05,06,15,18,26,32,08
392,20027,12,13,14,24,25,28,06
393,20026,01,04,09,18,19,31,06
394,20025,01,09,10,15,20,29,02
395,20024,10,13,27,28,29,31,08
396,20023,04,05,20,21,30,33,08
397,20022,02,10,20,22,25,30,02
398,20021,02,06,14,16,27,31,07
399,20020,01,06,09,13,15,22,14
400,20019,15,19,27,28,30,33,03
401,20018,05,07,08,11,17,22,13
402,20017,02,04,07,15,20,27,04
403,20016,05,06,08,17,24,27,07
404,20015,08,09,22,24,30,33,01
405,20014,02,07,08,10,12,16,07
406,20013,02,08,10,20,21,30,14
407,20012,04,13,14,23,26,31,09
408,20011,04,05,07,17,18,29,01
409,20010,11,14,22,27,31,32,09
410,20009,03,06,08,14,19,26,12
411,20008,01,04,06,10,11,28,16
412,20007,05,12,17,20,25,31,10
413,20006,03,04,05,10,16,32,09
414,20005,11,16,17,22,26,32,04
415,20004,02,15,17,27,32,33,03
416,20003,09,17,26,29,30,32,03
417,20002,04,09,14,15,16,29,11
418,20001,02,15,23,26,29,30,02
419,19151,02,06,09,18,24,26,14
420,19150,02,09,14,22,27,29,02
